filename, Acral Lentiginous Melanoma, Beaus Line, Blue Finger, Clubbing, Healthy Nail, Koilonychia, Lindsay-s Nail, Muehrckes Lines, Onychogryphosis, Pitting, Terry-s Nail
Screen-Shot-2021-11-22-at-8-55-27-PM_png.rf.61d0537b49d76f70cba6261bfe93a84c.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
ml60_png.rf.625ab29c6324a8d771ce8155d499929a.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
ml68_png.rf.621ebfebb1e64524a71bfd23f427301f.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
235_JPG.rf.62612a764a5ab6b62d5842b478ade371.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
h161_png.rf.628baee095fcc2b730dc75baa6ad8b98.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Screen-Shot-2021-11-22-at-2-01-55-PM_png.rf.629dce3b964cd0b78d6f13eb55d4bb04.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screen-Shot-2021-11-22-at-4-51-58-PM_png.rf.61e9b640a733a382ac2fe300ddaa299f.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
151_JPG.rf.635a677ccd694e009615e22fe4676279.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Screen-Shot-2021-11-22-at-12-21-56-PM_png.rf.62a433c23cd4f9296693815330c11983.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screen-Shot-2021-11-19-at-1-53-28-AM_png.rf.6465c7eb5b0502346d1d1607ecd5e6e1.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screen-Shot-2021-11-19-at-1-52-59-AM_png.rf.644664a1fc2dcbbc799b0706b3182d7e.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screen-Shot-2021-11-22-at-9-43-27-AM_png.rf.63a959d5d35f9af64bfcfbdea47fa85b.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Screen-Shot-2021-11-22-at-11-03-32-PM_png.rf.64195194088a2773ac115a2c74035ad1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
